frame_number,src_mac,dst_mac,eth_type,src_ip,dst_ip,ip_proto,ip_ttl,src_port,dst_port,tcp_flags,packet_time,packet_length,packet_summary,protocol_name_x,packet_information_x,protocol_name_y,packet_information_y,protocol_name_x,packet_information_x,protocol_name_y,packet_information_y
11,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,PA,1210953938.22364,210,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 PA / Raw,,,TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU],TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU],TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU]
11,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,PA,1210953938.22364,210,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 PA / Raw,,,,,TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU],TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU]
11,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,PA,1210953938.22364,210,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 PA / Raw,,,,,,,TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU]
12,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.22367,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,TCP,55341 → 631 [ACK] Seq=431 Ack=170 Win=6912 Len=0 TSval=7073328 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=170 Win=6912 Len=0 TSval=7073328 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=170 Win=6912 Len=0 TSval=7073328 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=170 Win=6912 Len=0 TSval=7073328 TSecr=5827876
12,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.22367,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,,,TCP,55341 → 631 [ACK] Seq=431 Ack=170 Win=6912 Len=0 TSval=7073328 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=170 Win=6912 Len=0 TSval=7073328 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=170 Win=6912 Len=0 TSval=7073328 TSecr=5827876
12,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.22367,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,,,,,TCP,55341 → 631 [ACK] Seq=431 Ack=170 Win=6912 Len=0 TSval=7073328 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=170 Win=6912 Len=0 TSval=7073328 TSecr=5827876
12,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.22367,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,,,,,,,TCP,55341 → 631 [ACK] Seq=431 Ack=170 Win=6912 Len=0 TSval=7073328 TSecr=5827876
13,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,PA,1210953938.231068,393,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 PA / Raw,TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU],TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU],TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU],TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU]
13,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,PA,1210953938.231068,393,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 PA / Raw,,,TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU],TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU],TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU]
13,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,PA,1210953938.231068,393,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 PA / Raw,,,,,TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU],TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU]
13,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,PA,1210953938.231068,393,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 PA / Raw,,,,,,,TCP,HTTP/1.1 200 OK  [TCP segment of a reassembled PDU]
14,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.231095,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,TCP,55341 → 631 [ACK] Seq=431 Ack=497 Win=8064 Len=0 TSval=7073336 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=497 Win=8064 Len=0 TSval=7073336 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=497 Win=8064 Len=0 TSval=7073336 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=431 Ack=497 Win=8064 Len=0 TSval=7073336 TSecr=5827876
